Id,Name,Domain,Vocabulary,include,t1_patological,t2_patological
1634276,AJCC/UICC 8th post therapy clinical T2a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633329,AJCC/UICC 8th post therapy clinical T2b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634616,AJCC/UICC 8th post therapy clinical T2c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633539,AJCC/UICC 8th post therapy clinical T2d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634111,AJCC/UICC 8th post therapy pathological T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634322,AJCC/UICC 8th post therapy pathological T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633882,AJCC/UICC 8th post therapy pathological T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634493,AJCC/UICC 8th post therapy pathological T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633644,AJCC/UICC 8th post therapy pathological T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634744,AJCC/UICC 8th post therapy pathological T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635364,AJCC/UICC 8th post therapy pathological T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635210,AJCC/UICC 8th post therapy pathological T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635580,AJCC/UICC 8th post therapy pathological T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634533,AJCC/UICC 8th post therapy pathological T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634925,AJCC/UICC 8th post therapy pathological T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634598,AJCC/UICC 8th post therapy pathological T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
